date,origin,destination,commodity,vessel_type,vessel_size,freight_rate,fuel_price,demand_index,supply_index,port_congestion_index
2021-01-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.06,498.71,93.24,101.2,18.61
2021-01-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,13.81,499.29,92.02,100.97,18.19
2021-01-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,13.51,497.89,91.54,100.69,18.07
2021-01-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,12.96,499.23,91.87,100.37,17.89
2021-01-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,13.52,499.19,92.18,100.5,18.33
2021-01-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,13.54,498.94,91.57,101.26,17.9
2021-01-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,13.69,497.95,91.74,101.76,18.54
2021-01-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,13.56,499.81,92.44,101.88,18.58
2021-01-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.18,499.61,93.0,101.13,18.73
2021-01-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.58,499.0,93.03,100.47,19.04
2021-01-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.48,498.5,92.84,100.76,19.0
2021-01-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.31,499.33,92.55,100.13,18.81
2021-01-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.25,499.91,92.93,99.96,18.9
2021-01-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.05,500.56,93.14,100.08,19.31
2021-01-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.22,501.23,93.62,99.44,19.16
